Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,Combined Force,,,Combined Moment,,,Combined CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
126,0,-0.0906216,-1.26489,-711.015,-5020.74,18489.2,-198.391,258.004,261.061,0,-0.0906216,-1.26489,-711.015,-185602,184894,-471.408,258.004,261.061,0
126,1,-0.0902529,-1.22692,-715.556,-5032.26,18489,-199.571,257.839,261.033,0,-0.0902529,-1.22692,-715.556,-186765,185956,-463.793,257.839,261.033,0
126,2,-0.0897719,-1.11054,-711.066,-5028.04,18535.9,-197.822,258.068,261.071,0,-0.0897719,-1.11054,-711.066,-185616,184952,-434.931,258.068,261.071,0
126,3,-0.0870752,-0.867317,-711.529,-5069.38,18491.1,-197.227,257.988,261.125,0,-0.0870752,-0.867317,-711.529,-185764,185015,-378.099,257.988,261.125,0
126,4,-0.0878284,-1.10119,-711.344,-5153.61,18532.8,-198.159,258.053,261.245,0,-0.0878284,-1.10119,-711.344,-185811,185014,-433.573,258.053,261.245,0
126,5,-0.087547,-0.866925,-711.025,-5055.28,18526.3,-197.014,258.056,261.11,0,-0.087547,-0.866925,-711.025,-185622,184933,-377.674,258.056,261.11,0
126,6,-0.0880635,-1.19775,-711.517,-5079.36,18332.8,-198.593,257.766,261.139,0,-0.0880635,-1.19775,-711.517,-185785,184854,-456.545,257.766,261.139,0
126,7,-0.091844,-1.0324,-711.067,-4889.05,18610.1,-197.146,258.172,260.876,0,-0.091844,-1.0324,-711.067,-185474,185027,-415.442,258.172,260.876,0
126,8,-0.0991618,-1.10588,-711.112,-5081.42,19847.1,-196.557,259.91,261.146,0,-0.0991618,-1.10588,-711.112,-185681,186275,-430.192,259.91,261.146,0
126,9,-0.0884799,-1.14392,-710.791,-5113.67,18502.5,-198.095,258.031,261.194,0,-0.0884799,-1.14392,-710.791,-185633,184854,-443.343,258.031,261.194,0
127,0,-0.0860937,-0.757225,-711.67,-5092.66,18510.3,-196.908,258.01,261.156,0,-0.0860937,-0.757225,-711.67,-185818,185068,-352.264,258.01,261.156,0
127,1,-0.0869601,-0.950231,-714.602,-5137.4,18522.5,-198.518,257.92,261.189,0,-0.0869601,-0.950231,-714.602,-186616,185766,-398.824,257.92,261.189,0
127,2,-0.0875244,-1.11267,-711.116,-5191.35,18555.3,-198.198,258.093,261.3,0,-0.0875244,-1.11267,-711.116,-185792,184983,-436.375,258.093,261.3,0
127,3,-0.0906002,-1.25548,-710.745,-5075.8,18600.2,-198.29,258.17,261.142,0,-0.0906002,-1.25548,-710.745,-185588,184941,-469.11,258.17,261.142,0
127,4,-0.0877298,-1.05546,-710.793,-5123.95,18507.1,-197.798,258.037,261.209,0,-0.0877298,-1.05546,-710.793,-185640,184859,-422.536,258.037,261.209,0
127,5,-0.0861874,-0.83334,-710.568,-5114.79,18496.6,-196.932,258.031,261.198,0,-0.0861874,-0.83334,-710.568,-185564,184796,-370.077,258.031,261.198,0
127,6,-0.120971,-0.874842,-711.435,-2773.84,18479.1,-191.974,257.974,257.899,0,-0.120971,-0.874842,-711.435,-183445,184983,-366.001,257.974,257.899,0
127,7,-0.0879029,-1.05612,-711.572,-5105.25,18491.5,-197.995,257.987,261.175,0,-0.0879029,-1.05612,-711.572,-185819,185026,-422.843,257.987,261.175,0
127,8,-0.0872714,-0.878139,-710.934,-5079.1,18526,-197.083,258.059,261.144,0,-0.0872714,-0.878139,-710.934,-185623,184911,-380.437,258.059,261.144,0
127,9,-0.0908846,-1.598,-710.598,-5156.13,18474.2,-199.788,257.998,261.256,0,-0.0908846,-1.598,-710.598,-185647,184781,-550.695,257.998,261.256,0
