Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
209,0,-0.374382,-0.710089,-712.354,6563.23,33442.7,-154.438,278.947,244.787,0
209,1,-0.371368,-0.740781,-710.792,6425.5,33292.2,-154.579,278.838,244.96,0
209,2,-0.375289,-0.77448,-710.794,6583.69,33464.4,-154.155,279.08,244.738,0
209,3,-0.375686,-0.752802,-710.75,6594.19,33515.4,-153.987,279.155,244.722,0
209,4,-0.377676,-0.645495,-710.853,6628.25,33804.9,-153.25,279.555,244.676,0
209,5,-0.377289,-0.854074,-712.215,6646.31,33526,-154.634,279.073,244.668,0
209,6,-0.373566,-0.700543,-722.484,6555.74,33339.4,-157.406,278.146,244.926,0
209,7,-0.374303,-0.716992,-711.338,6636.58,33289.1,-154.168,278.798,244.67,0
209,8,-0.376736,-0.91968,-711.388,6591.94,33499.6,-154.786,279.09,244.734,0
209,9,-0.377018,-0.906858,-710.745,6634.18,33468.8,-154.493,279.09,244.666,0
210,0,-0.375919,-0.819318,-711.252,6600.61,33470.9,-154.399,279.059,244.72,0
210,1,-0.388378,-2.94792,-710.708,6409.1,33475.8,-162.276,279.102,244.982,0
210,2,-0.379428,-0.87752,-711.121,6660.35,33754.8,-154.133,279.467,244.634,0
210,3,-0.364156,-0.765192,-711.106,6655.05,31907.4,-155.69,276.87,244.641,0
210,4,-0.384718,-0.775312,-711.558,6714.99,34423.4,-153.062,280.377,244.563,0
210,5,-0.365791,0.631757,-711.236,6605.26,33497.5,-149.177,279.098,244.713,0
210,6,-0.379467,-1.06671,-714.135,6689.15,33524.6,-155.841,278.944,244.633,0
210,7,-0.378891,-0.884147,-710.699,6742.75,33524.2,-154.091,279.171,244.513,0
210,8,-0.37716,-0.850623,-711.11,6696.99,33418.7,-154.305,278.995,244.582,0
210,9,-0.37199,-0.764777,-711.272,6725.15,32780.2,-154.654,278.087,244.545,0
211,0,-0.374035,0.257537,-710.676,6912.26,33629.9,-149.51,279.321,244.274,0
211,1,-0.376158,-0.997929,-708.345,6716.7,33123,-154.312,278.761,244.518,0
211,2,-0.380398,-0.951965,-711.25,6773.08,33596.4,-154.344,279.236,244.477,0
211,3,-0.37353,-0.876517,-711.162,6416.16,33461.8,-155.011,279.052,244.978,0
211,4,-0.380577,-1.08223,-710.875,6799.45,33450.3,-154.796,279.055,244.435,0
211,5,-0.381723,-0.957906,-710.004,6930.54,33464.9,-153.789,279.133,244.239,0
211,6,-0.378803,-0.759039,-708.775,6798.92,33525.5,-152.969,279.301,244.408,0
211,7,-0.379983,-1.00414,-710.966,6816.53,33413.3,-154.543,278.997,244.412,0
211,8,-0.38247,-1.24815,-711.236,6853.2,33437.8,-155.381,279.014,244.364,0
211,9,-0.381273,-1.09202,-710.734,6859.5,33416.9,-154.689,279.018,244.349,0
212,0,-0.381105,-0.98107,-710.828,6896.87,33426.4,-154.224,279.025,244.297,0
212,1,-0.379326,-1.02091,-702.38,6919.95,33135.4,-152.222,279.176,244.148,0
212,2,-0.364753,-1.07036,-710.756,5772.89,33378.3,-157.151,278.962,245.878,0
212,3,-0.371873,-0.999181,-711.244,6903.62,32210.6,-155.674,277.288,244.294,0
212,4,-0.381058,-0.913692,-710.553,6932.23,33415.8,-153.835,279.028,244.244,0
212,5,-0.386667,-1.31164,-711.001,7102.54,33445.5,-154.961,279.04,244.011,0
212,6,-0.362977,-1.28347,-710.117,5521.51,33432.6,-158.25,279.08,246.225,0
212,7,-0.382892,-1.22128,-710.175,6974.64,33288.5,-154.863,278.874,244.179,0
212,8,-0.383112,-1.10217,-711.19,6985.1,33404.4,-154.579,278.97,244.178,0
212,9,-0.382664,-1.00239,-710.917,6989.35,33431.2,-154.108,279.025,244.169,0
213,0,-0.38678,-1.39731,-709.667,7112.27,33365.4,-154.95,279.016,243.978,0
213,1,-0.387155,-1.37752,-708.622,7030.11,33590,-154.534,279.402,244.079,0
213,2,-0.385094,-1.28979,-711.139,7033.21,33394.9,-155.134,278.96,244.11,0
213,3,-0.376124,-1.44056,-709.731,6322.33,33456.8,-156.838,279.14,245.092,0
213,4,-0.388406,-1.67601,-709.756,7049.72,33436.2,-156.039,279.109,244.067,0
213,5,-0.384951,-0.97922,-711.373,7149.13,33441.9,-153.777,279.01,243.95,0
213,6,-0.391725,-1.30539,-710.668,7503.49,33340.3,-154.035,278.914,243.442,0
213,7,-0.388403,-1.62474,-713.195,7080.44,33417.4,-156.781,278.856,244.072,0
213,8,-0.388159,-1.63385,-703.658,7073.47,33411.3,-154.129,279.482,243.948,0
213,9,-0.386741,-1.35341,-709.074,7091.07,33442.4,-154.592,279.163,244,0
214,0,-0.387728,-1.45341,-709.713,7119.58,33421.6,-155.087,279.092,243.968,0
214,1,-0.385769,-1.51938,-707.927,6953.19,33428.9,-155.189,279.221,244.178,0
214,2,-0.386284,-1.3652,-709.761,7071.86,33407.9,-154.91,279.069,244.036,0
214,3,-0.389058,-1.4983,-709.851,7155.4,33482.8,-155.14,279.169,243.92,0
214,4,-0.384698,-1.29808,-709.349,7022.99,33359.7,-154.716,279.029,244.099,0
214,5,-0.407894,-4.59358,-709.797,6877.5,33579.5,-166.706,279.309,244.311,0
214,6,-0.386629,-1.77621,-709.042,7205.41,32821.8,-156.485,278.29,243.838,0
214,7,-0.388638,-1.52943,-709.388,7167.44,33378.3,-155.202,279.052,243.896,0
214,8,-0.388183,-1.43018,-709.894,7185.67,33375.5,-154.953,279.015,243.878,0
214,9,-0.389884,-1.5748,-709.984,7203.27,33427.3,-155.399,279.082,243.854,0
215,0,-0.401346,-3.24925,-709.954,7133.77,33489.5,-161.46,279.171,243.952,0
215,1,-0.391948,-1.75203,-709.295,7214.85,33508.6,-155.724,279.242,243.828,0
215,2,-0.391177,-1.62902,-708.93,7238.41,33478.9,-155.158,279.225,243.79,0
215,3,-0.389455,-1.73008,-709.25,7098.66,33429.4,-155.983,279.133,243.991,0
215,4,-0.402466,-3.10201,-709.356,7302.9,33449.1,-160.42,279.154,243.705,0
215,5,-0.376613,0.286178,-709.703,7187.7,33466.5,-148.672,279.156,243.872,0
215,6,-0.39315,-1.78609,-709.937,7260.41,33543.7,-155.886,279.249,243.773,0
215,7,-0.393993,-1.87229,-709.335,7316.94,33466.5,-155.974,279.18,243.685,0
215,8,-0.399404,-1.90306,-708.946,7300.69,34164.8,-155.274,280.191,243.702,0
215,9,-0.392015,-1.71784,-709.34,7258.05,33466.6,-155.56,279.18,243.768,0
216,0,-0.392489,-1.60696,-709.936,7342.14,33468.7,-155.138,279.143,243.658,0
