Trajectories
100
,,Group 3 S:LFHD,,,Group 3 S:RFHD,,,Group 3 S:LBHD,,,Group 3 S:RBHD,,,Group 3 S:C7,,,Group 3 S:T10,,,Group 3 S:CLAV,,,Group 3 S:STRN,,,Group 3 S:RBAK,,,Group 3 S:LSHO,,,Group 3 S:LUPA,,,Group 3 S:LELB,,,Group 3 S:LFRM,,,Group 3 S:LWRA,,,Group 3 S:LWRB,,,Group 3 S:LFIN,,,Group 3 S:RSHO,,,Group 3 S:RUPA,,,Group 3 S:RELB,,,Group 3 S:RFRM,,,Group 3 S:RWRA,,,Group 3 S:RWRB,,,Group 3 S:RFIN,,,Group 3 S:LASI,,,Group 3 S:RASI,,,Group 3 S:LPSI,,,Group 3 S:RPSI,,,Group 3 S:LTHI,,,Group 3 S:LKNE,,,Group 3 S:LTIB,,,Group 3 S:LANK,,,Group 3 S:LHEE,,,Group 3 S:LTOE,,,Group 3 S:RTHI,,,Group 3 S:RKNE,,,Group 3 S:RTIB,,,Group 3 S:RANK,,,Group 3 S:RHEE,,,Group 3 S:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
247,0,143.986649,180.752090,1568.450806,156.040451,315.989868,1552.124390,314.962494,186.521469,1482.912598,320.715332,277.584412,1482.229980,310.050659,239.587158,1368.307739,351.139954,231.215195,1152.544922,160.125198,230.915543,1314.424072,62.896484,230.856918,1149.030029,341.538910,311.198364,1287.802979,203.509552,69.619415,1348.848022,230.307175,-7.018894,1203.195801,224.473297,-10.021139,1034.217041,118.165398,5.668174,901.823242,108.887863,39.075134,821.746948,116.801628,-23.385406,817.663818,76.113129,21.929773,733.289063,214.195267,396.001434,1338.568726,272.219696,477.745026,1115.523682,255.890488,491.940582,1039.264160,151.262436,482.880127,919.688110,126.193375,460.960846,828.847290,147.045883,524.905579,824.819214,88.129631,486.836609,734.100342,130.604202,127.284172,919.886841,134.773376,373.505066,912.791809,349.393494,174.198669,1002.117493,352.647736,290.270752,1006.833191,233.188782,44.854599,723.490356,304.018188,99.448395,446.432861,307.409729,72.062347,298.237122,294.527863,78.052132,77.130424,348.180267,116.213989,30.688940,135.385269,99.081902,39.167755,243.945816,456.429260,665.100159,291.246765,423.545135,459.728455,315.394714,440.363617,320.415466,312.226807,432.249573,71.040565,356.398895,394.850433,29.774136,143.174194,428.866119,38.173267
248,0,143.756241,180.627670,1568.362305,155.878510,315.964844,1552.059570,314.910919,186.552185,1482.973999,320.607330,277.618622,1482.309448,310.135681,239.591476,1368.398438,351.209717,231.341782,1152.615723,160.152237,230.896027,1314.365356,63.001877,230.745987,1149.016724,341.535889,311.307648,1287.817993,203.585602,69.678276,1348.932861,230.555542,-6.929383,1203.261963,224.572845,-9.989894,1034.140503,118.101418,5.753788,901.908081,108.722374,39.096451,821.814880,116.679672,-23.214132,817.679260,75.797653,22.151880,733.414978,214.134430,396.066437,1338.587036,272.136261,477.778046,1115.535645,255.860031,492.058777,1039.289795,151.185776,482.893158,919.702820,126.046104,461.216736,828.826843,146.907791,524.967163,824.889709,88.084160,486.718872,734.280823,130.714523,127.166420,919.915100,134.853210,373.470917,912.666748,349.543335,174.150375,1002.144348,352.779144,290.283844,1006.828552,233.319382,44.876919,723.481506,304.031433,99.215240,446.414825,307.317902,72.013954,298.232391,294.491089,77.781837,77.179535,348.161133,116.215355,30.689447,135.391586,99.080978,39.191109,244.114090,456.443634,665.122192,290.429932,423.486847,459.544708,315.557098,440.735992,320.496063,312.233521,432.294220,71.073677,356.415619,394.824036,29.679148,143.190048,428.890594,38.219040
249,0,143.785843,180.734940,1568.392090,155.681168,315.889801,1552.044067,314.786926,186.577805,1483.038940,320.511993,277.661011,1482.391602,309.998077,239.621674,1368.425049,351.323059,231.389755,1152.711548,160.146393,230.939880,1314.357300,63.025288,230.682022,1148.896240,341.545532,311.337769,1287.883911,203.597656,69.795532,1348.671387,230.739868,-6.781467,1202.981934,224.700394,-9.950395,1034.135986,118.072731,5.795506,902.031006,108.607658,39.267315,821.968750,116.473503,-23.044538,817.823303,75.413933,22.330975,733.627808,214.092209,396.046082,1338.560547,272.255859,477.971527,1115.575684,255.833862,492.114502,1039.292725,151.130783,482.965363,919.776794,125.978844,461.135193,828.948669,146.873993,525.067078,824.847412,87.892990,486.778046,734.344238,130.861710,127.093506,919.903015,135.038666,373.484222,912.676086,349.669464,174.056488,1002.214905,352.959229,290.254242,1006.895691,233.393860,44.852383,723.498657,304.044952,99.141228,446.461456,307.327423,72.021240,298.222748,294.477142,77.808205,77.208977,348.159180,116.193604,30.669052,135.362198,99.079208,39.130390,244.224701,456.405640,665.067627,290.457428,424.158173,459.867798,315.647522,440.881561,320.513245,311.390137,432.564453,71.709976,356.421661,394.847198,29.723692,143.506714,429.315674,38.674019
250,0,143.527512,180.622437,1568.383057,155.492569,315.904480,1551.980591,314.741119,186.588150,1483.115356,320.417084,277.755188,1482.477783,310.050079,239.641312,1368.549927,351.380219,231.399170,1152.796997,160.109146,230.925171,1314.231201,63.177727,230.634293,1148.702393,341.551727,311.461609,1288.024048,203.470657,69.668907,1348.815674,230.785126,-6.877442,1203.107666,224.851212,-9.973146,1034.093628,117.924789,5.898153,902.234192,108.306274,39.313366,822.144714,116.240707,-22.787834,817.922729,74.984039,22.660706,733.795471,214.028351,396.104706,1338.588867,271.988770,477.803009,1115.534424,255.757874,492.128357,1039.290283,151.036087,482.958588,919.855530,125.849754,461.197601,828.908386,146.714508,524.980286,824.851013,87.762428,486.742798,734.472046,131.137222,127.156052,919.834106,135.275909,373.515839,912.684143,349.852295,174.121170,1002.221130,353.145813,290.298126,1006.935852,233.539474,44.728504,723.515198,304.006104,99.116966,446.465210,307.162476,72.017021,298.180420,294.483337,77.900787,77.141502,348.142792,116.210411,30.675249,135.349152,99.079971,39.173550,244.371048,456.352417,665.043152,290.282410,423.770081,459.402252,315.618530,440.584442,320.482422,312.265411,432.255402,70.897369,356.424561,394.843201,29.728363,143.190887,428.849518,38.185089
251,0,143.367722,180.605438,1568.274292,155.289490,315.837708,1551.897949,314.626892,186.616837,1483.172974,320.318756,277.798187,1482.576050,309.984192,239.672028,1368.616211,351.486847,231.415192,1152.897827,160.114563,230.921768,1314.276489,63.779675,230.872452,1149.040405,341.417542,311.398895,1288.032104,203.480789,69.620163,1348.778809,226.524384,-0.706356,1201.035522,225.025970,-9.993544,1034.016235,117.882858,5.971761,902.370117,108.104034,39.522465,822.488464,116.008957,-22.693741,818.065186,74.652336,22.820568,734.119019,213.925430,396.092377,1338.541748,272.002075,477.873260,1115.569458,255.693085,492.161438,1039.307495,150.967575,482.978363,919.929993,125.764313,461.301270,829.035217,146.514526,525.414307,825.090210,87.452248,486.630554,734.590942,131.344162,127.166298,919.878174,135.362320,373.451385,912.661133,350.036407,174.082275,1002.265564,353.371124,290.311554,1006.943115,233.615967,44.773823,723.505066,303.909485,99.282806,446.374542,306.997131,71.928276,298.162506,294.425293,77.937553,77.185028,348.149200,116.236877,30.769617,135.222504,98.926903,38.942535,244.481049,456.305786,665.015198,290.641693,424.251801,459.809113,315.617279,440.491180,320.452789,311.362366,432.597565,71.659775,356.411346,394.846161,29.698128,143.182968,428.882233,38.259266
252,0,142.779984,180.335663,1568.223999,155.079590,315.766907,1551.811157,314.581451,186.732849,1483.346802,320.190186,277.883423,1482.701538,309.798584,239.714569,1368.711182,351.663879,231.491409,1153.016846,160.122421,230.934158,1314.309326,63.881485,230.704407,1148.846069,341.456329,311.528595,1288.179932,203.436707,69.637871,1348.731812,231.117050,-6.792158,1203.040649,225.236938,-10.066885,1033.997192,117.821632,5.971432,902.585632,107.649277,39.700348,822.754517,115.759514,-22.565649,818.144470,74.095207,23.085627,734.307312,213.811813,396.110596,1338.532715,271.914215,477.953735,1115.601563,255.655106,492.241669,1039.355225,150.896759,483.027557,919.956360,125.669716,461.116699,829.123169,146.325897,525.511292,825.234619,87.198738,486.575043,734.792725,131.521133,127.115768,919.858582,135.564331,373.531097,912.681091,350.268768,174.129059,1002.293701,353.477844,290.337463,1006.926514,233.860687,44.486977,723.517822,303.842072,99.175827,446.349487,306.726471,71.857552,298.043701,294.240845,77.820160,77.076233,348.165802,116.265717,30.783533,135.143494,98.981712,38.917259,244.604095,456.317719,665.002136,290.749725,424.170746,459.769897,315.627075,440.395691,320.468781,311.769104,432.589111,71.123116,356.413605,394.861969,29.716522,143.213821,428.879517,38.267262
253,0,142.877502,180.410141,1568.086914,154.817337,315.752411,1551.697754,314.440643,186.796661,1483.537476,320.082001,277.975098,1482.907593,309.710480,239.794098,1368.828613,351.801666,231.559174,1153.128174,160.112015,230.911926,1314.212524,64.023338,230.830200,1148.721924,341.432983,311.647125,1288.330811,203.387848,69.713753,1348.723389,226.797226,-0.566676,1200.855103,225.426270,-10.110541,1033.960693,117.670021,5.949359,902.796082,107.271652,39.310387,822.973206,115.398735,-22.503996,818.326660,73.471809,23.469017,734.664917,213.631073,396.081207,1338.589355,272.004181,478.102844,1115.682739,255.576111,492.301910,1039.366699,150.901596,483.192841,920.074158,125.547630,461.200867,829.278992,146.158020,525.338989,825.326294,86.587448,486.744019,735.216431,131.908752,127.137917,919.801819,135.985489,373.361176,912.626404,350.548798,174.276764,1002.364380,353.704926,290.411560,1006.953613,234.272385,43.852337,723.621643,303.634430,99.547470,446.195801,306.527527,71.842751,298.014008,294.260468,78.085320,77.059380,348.093506,116.251701,30.779322,135.212555,99.097610,39.097881,244.749344,456.346100,664.976501,290.787079,424.420868,459.832672,315.659821,440.467987,320.438599,311.758087,432.635193,71.076294,356.460693,394.901550,29.695267,143.193619,428.794952,38.175488
254,0,142.646713,180.219223,1568.033691,154.463196,315.714355,1551.565308,314.375519,186.939224,1483.819214,319.943451,278.052216,1483.193848,309.577393,239.805344,1368.951538,351.970917,231.595154,1153.283936,160.070496,230.877274,1314.020264,64.159866,230.635452,1148.511230,341.344940,311.692810,1288.508423,203.287827,69.576012,1348.662720,226.912262,-0.682493,1201.003662,225.656967,-10.211691,1034.009399,117.479027,5.849855,903.131470,106.910500,39.484051,823.246399,114.914024,-22.378176,818.611572,72.795158,23.802933,734.991638,213.461426,396.077240,1338.567383,271.793335,478.009949,1115.704834,255.568420,492.449829,1039.473633,150.788925,483.274689,920.198669,125.397652,461.247070,829.386230,145.914505,525.178894,825.339233,86.295227,486.478943,735.510315,132.153671,127.024010,919.959290,136.283249,373.332428,912.684082,350.865356,174.170059,1002.473206,354.011932,290.466003,1007.045532,234.250732,44.164089,723.493408,303.379852,99.890015,446.083405,306.378265,71.847740,298.017059,294.316803,78.212234,77.228065,348.101166,116.291908,30.851246,135.195969,99.116013,39.062508,244.943710,456.431610,664.937256,290.589996,423.971252,459.402893,315.662964,440.455750,320.445587,311.782562,432.595947,71.093475,356.445221,394.921234,29.682199,143.220840,428.847809,38.286507
255,0,142.240952,180.271545,1567.939087,154.022522,315.705780,1551.369141,314.252258,187.119797,1484.154541,319.773529,278.130707,1483.536865,309.497406,239.951508,1369.171997,352.090637,231.628510,1153.462280,160.031876,230.855927,1313.998169,64.256104,230.730560,1148.360352,341.268555,311.845032,1288.725342,203.245636,69.670845,1348.672852,227.116547,-0.908534,1200.884399,225.897659,-10.486420,1034.000244,117.174019,5.828127,903.485535,106.406570,39.230034,823.747314,114.700394,-22.079826,818.957703,71.962784,24.176296,735.658630,213.245178,396.084595,1338.582397,271.723145,478.190582,1115.778564,255.517517,492.583557,1039.576538,150.540588,483.510925,920.339905,125.164330,461.349701,829.552490,145.660690,525.384033,825.544617,85.696556,486.499054,735.964050,132.650650,127.064255,919.955811,136.608047,373.475189,912.850037,351.184692,174.321808,1002.514832,354.324707,290.576813,1007.096191,234.510773,43.845341,723.554199,303.108856,99.919785,446.048950,305.920135,71.830551,297.904846,294.169769,78.218140,77.188904,348.084167,116.341606,30.959568,135.182022,99.138382,39.104031,245.154572,456.583344,664.981995,290.949371,424.241577,459.789307,315.674683,440.688049,320.474243,311.469025,432.785004,71.549728,356.408813,394.905823,29.673420,143.238602,428.837036,38.307411
