,,Group 3 S:LFHD,,,Group 3 S:RFHD,,,Group 3 S:LBHD,,,Group 3 S:RBHD,,,Group 3 S:C7,,,Group 3 S:T10,,,Group 3 S:CLAV,,,Group 3 S:STRN,,,Group 3 S:RBAK,,,Group 3 S:LSHO,,,Group 3 S:LUPA,,,Group 3 S:LELB,,,Group 3 S:LFRM,,,Group 3 S:LWRA,,,Group 3 S:LWRB,,,Group 3 S:LFIN,,,Group 3 S:RSHO,,,Group 3 S:RUPA,,,Group 3 S:RELB,,,Group 3 S:RFRM,,,Group 3 S:RWRA,,,Group 3 S:RWRB,,,Group 3 S:RFIN,,,Group 3 S:LASI,,,Group 3 S:RASI,,,Group 3 S:LPSI,,,Group 3 S:RPSI,,,Group 3 S:LTHI,,,Group 3 S:LKNE,,,Group 3 S:LTIB,,,Group 3 S:LANK,,,Group 3 S:LHEE,,,Group 3 S:LTOE,,,Group 3 S:RTHI,,,Group 3 S:RKNE,,,Group 3 S:RTIB,,,Group 3 S:RANK,,,Group 3 S:RHEE,,,Group 3 S:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,197.402344,184.565765,1568.920410,214.257813,320.005249,1556.596191,370.134338,187.227219,1486.163574,378.712433,277.810577,1488.087769,364.783844,238.041702,1372.645142,400.295227,225.757156,1154.977783,213.004990,236.506119,1320.982788,111.024101,238.294434,1158.986328,395.563293,310.479065,1288.757935,246.745987,69.568275,1355.077148,261.131531,-5.618531,1207.950439,261.565765,-11.612394,1040.982666,165.468170,9.354314,901.385132,164.407806,40.637955,820.008057,167.015656,-21.677006,817.474487,139.125854,25.738260,727.879333,273.199280,403.264587,1337.978149,324.663483,477.808899,1112.121826,309.995544,491.160004,1037.124023,213.051392,490.334625,912.548096,191.938217,473.234985,821.291626,218.770782,533.833618,817.568237,160.995773,497.330383,725.393677,175.187317,132.641968,920.650391,182.947464,374.941681,913.862061,394.777649,173.058792,1001.115784,401.377960,291.017090,1005.924561,271.871948,44.098564,721.196045,317.474213,100.302284,443.816437,319.423431,71.831375,295.701508,317.892395,75.346619,77.057289,372.806030,112.722855,30.189133,160.249298,101.323196,40.131893,280.652618,460.538422,664.866150,307.620819,424.362610,457.979156,333.214294,441.175049,320.153229,340.995667,433.551971,71.298454,383.578827,391.388550,29.773777,172.495560,440.647827,37.179550
11,0,197.267441,184.476563,1568.817871,214.030991,320.022736,1556.611572,369.804626,187.049393,1486.003418,378.509674,277.815857,1488.056152,364.128418,238.033264,1372.407349,400.143066,225.695511,1154.945313,212.702774,236.529800,1320.847290,110.855545,238.491547,1158.622681,395.443176,310.440704,1288.777344,246.292068,69.702362,1355.197632,260.432983,-5.411605,1208.147339,261.072479,-11.799191,1041.143066,164.949600,9.235604,901.506592,164.312180,40.501667,819.970215,166.483826,-21.795267,817.626770,138.690002,25.556120,728.066589,273.088501,403.339325,1337.959351,324.809479,477.811340,1112.152100,310.318848,491.255280,1037.180054,213.339096,490.370941,912.448975,192.372055,473.083466,820.920166,219.144409,533.773193,817.250854,161.478088,497.313812,725.142883,174.868958,132.692871,920.692627,182.750839,375.069855,913.730408,394.486267,172.929413,1001.109619,401.282288,290.935516,1005.956299,271.584137,43.940845,721.207947,317.290985,100.239265,443.783325,319.195160,71.914955,295.727448,317.577881,75.482742,76.883705,372.817627,112.721420,30.194555,160.339218,101.647896,40.449654,280.567932,460.458099,664.848877,307.512421,424.297638,457.984863,333.134003,441.046722,320.191315,341.011688,433.531708,71.321327,383.589478,391.363098,29.750736,172.547806,440.782990,37.291286
12,0,197.037292,184.389114,1568.804443,213.921280,320.077942,1556.601563,368.901398,187.650604,1485.866943,378.302460,277.865051,1487.987305,363.900116,237.988312,1372.401001,399.934723,225.589218,1155.011597,212.461777,236.598343,1320.859375,110.665031,238.355240,1158.646362,395.298126,310.475250,1288.846191,245.825714,69.723724,1355.292847,259.915405,-5.370510,1208.195435,260.539215,-11.912720,1041.256104,164.435303,9.193456,901.649353,162.862762,39.591110,820.008606,165.828934,-21.974144,817.775879,138.195496,25.325781,728.173584,272.965454,403.400421,1337.933716,324.946045,477.847321,1112.152954,310.585785,491.274811,1037.164063,213.723083,490.481628,912.312683,192.841461,473.062103,820.789673,219.586594,533.758179,817.236816,162.059082,497.499603,725.029846,174.576813,132.655121,920.527771,182.583939,375.119141,913.572937,394.195160,172.863708,1001.078613,401.150970,290.885620,1005.990967,271.196899,44.068123,721.134949,317.148132,100.203354,443.787750,319.161621,71.809486,295.780396,317.198486,75.598145,76.702812,372.764374,112.699265,30.192698,160.405167,100.969460,40.384148,280.474335,460.408325,664.823425,307.424866,424.283600,457.952576,333.086700,441.036194,320.236389,341.027863,433.497803,71.290077,383.600525,391.383301,29.735168,172.469696,440.629211,37.187119
13,0,196.835922,184.298447,1568.693848,213.767670,320.126221,1556.606934,368.710327,187.577347,1485.718628,378.104797,277.990570,1487.977051,363.709198,238.050415,1372.433716,399.698303,225.366913,1154.984009,212.168106,236.609924,1320.620239,110.585052,238.567627,1158.373535,395.126892,310.317322,1288.802734,245.397385,69.851181,1355.371460,259.456360,-5.393595,1208.249756,260.044312,-12.071465,1041.398193,163.973221,9.149141,901.823914,162.428162,38.974178,820.106323,165.238647,-22.072998,817.957886,137.639038,25.159052,728.298401,272.873901,403.463928,1337.859619,325.046875,477.901367,1112.145874,310.743805,491.189545,1037.076172,214.134659,490.497864,912.180969,193.222855,473.104980,820.610840,219.870667,533.600342,817.180298,162.591385,497.454102,724.734863,174.270432,132.854004,920.476563,182.407791,375.217224,913.568909,393.898132,172.905670,1001.217712,401.061188,290.796692,1006.043579,271.379364,41.908680,722.084778,316.975067,100.173508,443.811188,319.025757,71.788399,295.839172,316.874390,75.725746,76.500290,372.766418,112.689316,30.169193,160.373886,101.390839,40.454105,280.370789,460.336243,664.838745,307.292633,424.165710,457.969452,332.962799,440.666779,320.118988,341.046753,433.556396,71.313347,383.611450,391.351715,29.730268,172.523438,440.834320,37.320732
14,0,196.671982,184.353287,1568.674805,213.486359,320.094421,1556.665161,368.990234,187.428299,1485.677856,377.877350,277.965454,1487.960693,363.472534,238.077057,1372.440063,399.485657,225.260559,1154.999512,211.914490,236.642471,1320.588501,110.340515,238.526047,1158.288574,394.982605,310.341187,1288.903809,244.965820,70.001213,1355.448120,258.870941,-5.458369,1208.299805,259.458618,-12.178988,1041.572144,163.478668,9.080116,901.962585,161.656448,38.727222,820.451294,164.669983,-22.128860,818.164001,136.973816,25.085609,728.435486,272.775940,403.541077,1337.836426,325.134003,477.967682,1112.102661,310.965546,491.293671,1037.081421,214.458969,490.536316,911.992981,193.708801,473.326538,820.665833,220.523544,533.840332,816.884888,163.272919,497.492096,724.609985,173.887177,132.842972,920.463684,182.277481,375.268982,913.387085,393.624847,172.604828,1001.238342,400.919220,290.687439,1006.128052,270.837891,42.734303,721.678589,316.832550,99.880379,443.762604,318.911041,71.869522,295.834229,316.564575,75.891258,76.344963,372.782684,112.717270,30.192892,160.302002,101.428268,40.376850,280.243835,460.257568,664.780151,307.147217,424.121033,457.918152,332.943939,440.979645,320.326141,341.021912,433.488464,71.297523,383.606018,391.362061,29.727913,172.468719,440.692596,37.188332
15,0,196.378143,184.501633,1568.496826,213.263748,320.170959,1556.644165,368.223907,187.662338,1485.622070,377.675293,278.039886,1487.938232,363.252441,238.055023,1372.447754,399.309174,225.166428,1154.989868,211.686737,236.693680,1320.625244,110.138084,238.535858,1158.236694,394.814209,310.290619,1288.895020,244.531006,70.110825,1355.485962,258.336243,-5.601873,1208.440063,258.886475,-12.276153,1041.684326,162.956696,8.957336,902.113586,161.446304,39.198654,820.602661,163.993408,-22.190708,818.336243,136.367386,25.114864,728.603149,272.661896,403.596191,1337.774780,325.202637,477.994019,1112.123169,311.090942,491.258514,1036.994141,214.830612,490.590302,911.880371,194.209000,473.095154,820.138184,220.935577,533.764404,816.766113,163.743317,497.241089,724.249451,173.562683,132.787888,920.477539,182.114929,375.361542,913.433838,393.338196,172.378738,1001.298401,400.774353,290.634979,1006.149902,270.617126,41.960045,722.025696,316.665802,100.053535,443.787323,318.880676,71.963379,295.803619,316.214417,76.027138,76.174866,372.758759,112.715607,30.201815,160.384232,101.321281,40.426304,280.070862,460.236237,664.772583,307.021790,424.057434,457.975800,332.824493,440.885620,320.319519,341.082581,433.488861,71.362740,383.619232,391.345276,29.717571,172.502869,440.688660,37.211044
16,0,196.145813,184.402954,1568.490234,213.006287,320.259857,1556.584351,368.029266,187.718689,1485.607666,377.431793,278.086487,1487.944092,363.026489,238.039520,1372.445435,399.142853,225.086121,1154.983276,211.427109,236.744339,1320.531494,109.940681,238.751907,1158.319336,394.618408,310.225372,1288.919556,244.111374,70.137398,1355.712646,258.080811,-7.637173,1209.682373,258.292633,-12.390018,1041.876221,162.403595,8.995956,902.283997,160.689651,38.569408,820.460388,163.665512,-22.066265,818.467102,135.770554,25.069756,728.797363,272.586212,403.654510,1337.730957,325.302460,478.021545,1112.134644,311.306274,491.309265,1037.054810,215.147202,490.609833,911.725952,194.648270,473.120911,820.001526,221.415100,534.015137,816.589294,164.396545,497.620636,724.245239,173.257187,132.950912,920.505188,181.942230,375.470520,913.352112,393.075531,172.448822,1001.236816,400.629913,290.531311,1006.185669,269.991241,43.101181,721.442261,316.536652,100.004326,443.846100,318.805573,71.880989,295.801605,316.208527,75.957855,76.176842,372.773743,112.706635,30.220896,160.314636,101.365120,40.397457,279.934570,460.181610,665.179016,306.707916,424.064331,458.148163,332.787323,441.021484,320.396545,341.037170,433.454102,71.316521,383.584625,391.348083,29.725054,172.564407,440.775482,37.330078
17,0,195.908508,184.466644,1568.331421,212.780319,320.427307,1556.634033,368.332275,187.572708,1485.660278,377.218475,278.111664,1487.983765,362.819244,238.021683,1372.475830,398.961365,224.989639,1155.018921,211.191483,236.816559,1320.574829,109.791595,238.802185,1158.377075,394.484131,310.133667,1288.932373,243.460663,70.583160,1355.121948,257.569214,-7.688318,1209.840454,257.739838,-12.593182,1042.015503,161.689209,9.038491,902.444214,160.224350,38.442478,820.642151,162.927872,-22.040319,818.538696,134.886887,25.069681,728.918213,272.479370,403.779510,1337.734863,325.375000,478.064301,1112.138672,311.494019,491.390015,1037.021240,215.421677,490.611511,911.565796,195.112808,473.209747,819.761780,221.726303,534.202637,816.481506,164.841354,497.664337,724.092529,172.981857,133.074829,920.490051,181.766968,375.579193,913.532776,392.778381,172.285889,1001.332764,400.494141,290.447174,1006.203064,269.599304,43.128536,721.451660,316.370697,99.719856,443.854340,318.753479,71.832893,295.823669,316.162354,75.902901,76.177505,372.748444,112.711983,30.238655,160.430359,101.196922,40.506927,279.722656,460.124207,665.138489,306.551270,424.051880,458.155914,332.626984,440.826874,320.452454,341.306885,433.494720,71.304947,383.613770,391.355316,29.733198,172.530624,440.632690,37.136940
18,0,195.554413,184.551300,1568.277954,212.529282,320.529633,1556.542480,368.114990,187.664337,1485.678223,376.997925,278.138550,1488.030273,362.977051,238.032303,1372.687744,398.788116,224.845764,1154.996094,210.933823,236.718826,1320.433228,109.554207,238.957245,1158.402832,394.334930,310.099060,1288.910645,243.031265,70.796173,1355.412842,257.092255,-7.702741,1209.975098,257.098755,-12.624344,1042.059326,160.968445,9.088609,902.636719,159.606842,38.722511,820.879944,162.571762,-21.886229,818.753357,134.055664,24.983589,729.312622,272.414063,403.817902,1337.692383,325.438141,478.116669,1112.162354,311.680145,491.435181,1037.020874,215.629257,490.574677,911.434021,195.539505,473.202942,819.738464,222.354996,534.112610,816.312744,165.313309,497.833313,724.005371,172.736343,133.144104,920.585510,181.614685,375.661926,913.506714,392.472168,172.206787,1001.248718,400.376343,290.453033,1006.173828,269.225067,43.140705,721.515869,316.109436,99.801811,443.785858,318.693787,71.809494,295.849121,316.126495,75.865417,76.167000,372.733429,112.734802,30.245260,160.335739,101.430336,40.419312,279.527435,460.104584,665.187927,306.376251,423.975372,458.115204,332.444611,440.773285,320.422821,341.310638,433.490387,71.296700,383.613861,391.344330,29.757917,172.551620,440.752014,37.280491
19,0,195.269592,184.592621,1568.201416,212.201462,320.557190,1556.471558,367.918701,187.677139,1485.749634,376.803711,278.157684,1488.081299,362.845581,238.066208,1372.679810,398.616089,224.803589,1154.990234,210.693466,236.765411,1320.452759,109.267876,239.172287,1158.498047,394.220062,310.151764,1288.957764,243.021362,70.376396,1355.774658,256.428162,-6.500427,1209.560791,256.492371,-12.776541,1042.196655,160.204498,9.163211,902.789673,158.725021,39.333355,820.947693,161.361404,-21.817305,819.004028,133.078781,25.183941,729.557251,272.241821,404.240875,1337.908691,325.526703,478.119110,1112.173462,311.859344,491.496216,1037.072754,215.856873,490.543060,911.275146,195.916718,473.508240,820.153137,222.877731,534.205750,816.196167,165.964920,498.041931,723.826477,172.428375,133.129150,920.623169,181.350601,375.795990,913.603577,392.184540,172.116516,1001.103149,400.225281,290.411133,1006.109741,268.905701,42.873280,721.625854,315.887756,99.828072,443.797577,318.554230,71.715752,295.829559,316.090057,75.851410,76.163040,372.717804,112.781105,30.258381,160.196014,101.448158,40.296574,279.345490,460.047150,665.166138,306.324677,424.022614,458.087463,332.336487,440.768250,320.492249,341.278168,433.487946,71.324593,383.641724,391.343384,29.735901,172.541489,440.692352,37.227215
