Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,Combined Force,,,Combined Moment,,,Combined CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
250,5,-0.243757,-2.0114,-714.019,9032.71,10781.4,-177.803,247.1,241.35,0,-0.243757,-2.0114,-714.019,-172345,177895,-586.646,247.1,241.349,0
250,6,-0.243179,-1.97889,-714.158,9001.51,10796.1,-177.782,247.117,241.396,0,-0.243179,-1.97889,-714.158,-172410,177943,-579.164,247.117,241.396,0
250,7,-0.243162,-2.27944,-715.206,8900.04,10707.6,-179.479,246.971,241.556,0,-0.243162,-2.27944,-715.206,-172790,178099,-651.203,246.971,241.556,0
250,8,-0.242204,-2.36118,-714.41,8992.46,10335.6,-179.725,246.467,241.413,0,-0.242204,-2.36118,-714.41,-172500,177541,-670.822,246.467,241.413,0
250,9,-0.244018,-2.31119,-714.151,8931.3,10731.2,-179.196,247.027,241.494,0,-0.244018,-2.31119,-714.151,-172493,177876,-658.133,247.027,241.494,0
251,0,-0.240885,-1.51197,-714.027,9090.77,10762.2,-175.91,247.073,241.268,0,-0.240885,-1.51197,-714.027,-172266,177878,-468.599,247.073,241.268,0
251,1,-0.222822,1.24678,-714.403,9187.42,10798.2,-165.911,247.115,241.14,0,-0.222822,1.24678,-714.403,-172143,178001,182.45,247.115,241.14,0
251,2,-0.241628,-2.1588,-714.982,8825.99,10762.8,-179.096,247.053,241.656,0,-0.241628,-2.1588,-714.982,-172802,178102,-622.975,247.053,241.656,0
251,3,-0.245796,-2.24516,-715.616,9079.04,10736.7,-179.031,247.003,241.313,0,-0.245796,-2.24516,-715.616,-172714,178225,-642.063,247.003,241.313,0
251,4,-0.246993,-2.38749,-715.198,9119.4,10683.7,-179.384,246.938,241.249,0,-0.246993,-2.38749,-715.198,-172574,178074,-675.421,246.938,241.249,0
251,5,-0.247945,-2.50884,-714.829,9123.62,10686.9,-179.699,246.95,241.237,0,-0.247945,-2.50884,-714.829,-172481,177991,-703.896,246.95,241.237,0
251,6,-0.255117,-3.56207,-715.54,9112.34,10658.2,-183.716,246.895,241.265,0,-0.255117,-3.56207,-715.54,-172720,178129,-952.582,246.895,241.265,0
251,7,-0.249016,-2.35272,-715.745,9288.79,10652.7,-179.059,246.883,241.022,0,-0.249016,-2.35272,-715.745,-172542,178171,-666.447,246.883,241.022,0
251,8,-0.248966,-2.42128,-716.296,9225.64,10701.9,-179.553,246.941,241.12,0,-0.248966,-2.42128,-716.296,-172748,178349,-682.999,246.941,241.12,0
251,9,-0.247839,-2.35322,-715.837,9223.3,10625.3,-179.266,246.843,241.115,0,-0.247839,-2.35322,-715.837,-172631,178165,-667.069,246.843,241.115,0
252,0,-0.250223,-2.69812,-717.021,9223.08,10611.8,-180.848,246.8,241.137,0,-0.250223,-2.69812,-717.021,-172947,178429,-748.763,246.8,241.137,0
252,1,-0.253998,-2.66758,-719.863,9440.09,10706.6,-180.948,246.873,240.886,0,-0.253998,-2.66758,-719.863,-173450,179189,-740.758,246.873,240.886,0
252,2,-0.24716,-2.08903,-717.4,9290.76,10649.9,-178.587,246.845,241.049,0,-0.24716,-2.08903,-717.4,-172948,178555,-604.734,246.845,241.049,0
252,3,-0.250827,-2.62832,-716.33,9342.07,10529.2,-180.217,246.699,240.958,0,-0.250827,-2.62832,-716.33,-172649,178184,-731.643,246.699,240.958,0
252,4,-0.250292,-2.674,-716.88,9284.27,10527,-180.671,246.685,241.049,0,-0.250292,-2.674,-716.88,-172849,178311,-742.924,246.685,241.049,0
252,5,-0.247384,-2.08542,-716.843,9383.36,10507.4,-178.354,246.658,240.91,0,-0.247384,-2.08542,-716.843,-172714,178283,-603.597,246.658,240.91,0
252,6,-0.257379,-3.58166,-717.271,9348.89,10477.9,-183.925,246.608,240.966,0,-0.257379,-3.58166,-717.271,-172924,178354,-956.801,246.608,240.966,0
252,7,-0.25576,-2.89444,-717.925,9536.7,10544.7,-181.157,246.688,240.716,0,-0.25576,-2.89444,-717.925,-172871,178574,-793.611,246.688,240.716,0
252,8,-0.253576,-2.85938,-717.236,9472.03,10420.8,-181.115,246.529,240.794,0,-0.253576,-2.85938,-717.236,-172759,178288,-785.92,246.529,240.794,0
252,9,-0.25453,-2.99258,-717.645,9480.46,10403.9,-181.705,246.497,240.79,0,-0.25453,-2.99258,-717.645,-172861,178367,-817.44,246.497,240.79,0
253,0,-0.254352,-2.89314,-727.454,9556.03,10308.2,-184.062,246.17,240.864,0,-0.254352,-2.89314,-727.454,-175271,180567,-796.571,246.17,240.864,0
253,1,-0.246354,-2.81642,-718.242,9150.51,10141.3,-182.28,246.12,241.26,0,-0.246354,-2.81642,-718.242,-173335,178244,-778.862,246.12,241.26,0
253,2,-0.253821,-2.9205,-675.546,9600.24,10241.4,-169.394,247.16,239.789,0,-0.253821,-2.9205,-675.546,-162049,168352,-788.44,247.16,239.789,0
253,3,-0.257188,-3.20106,-718.413,9620.61,10285.5,-182.471,246.317,240.609,0,-0.257188,-3.20106,-718.413,-172925,178429,-866.321,246.317,240.609,0
253,4,-0.259038,-3.19965,-718.41,9746.66,10285.1,-182.176,246.316,240.433,0,-0.259038,-3.19965,-718.41,-172798,178428,-865.228,246.316,240.433,0
253,5,-0.263804,-3.23001,-718.907,10058.1,10276.9,-181.72,246.295,240.009,0,-0.263804,-3.23001,-718.907,-172614,178536,-870.667,246.295,240.009,0
253,6,-0.263065,-3.22988,-719.09,10034.5,10226.4,-181.878,246.221,240.046,0,-0.263065,-3.22988,-719.09,-172684,178528,-870.981,246.221,240.046,0
253,7,-0.258558,-3.21952,-719.272,9814.86,10073.8,-182.558,246.006,240.354,0,-0.258558,-3.21952,-719.272,-172950,178418,-870.382,246.006,240.354,0
253,8,-0.260823,-3.6213,-720.185,9737.97,10138.8,-184.359,246.078,240.479,0,-0.260823,-3.6213,-720.185,-173276,178697,-965.636,246.078,240.479,0
253,9,-0.258564,-2.77594,-719.739,9992.5,10144.8,-180.625,246.095,240.117,0,-0.258564,-2.77594,-719.739,-172871,178598,-764.636,246.095,240.117,0
254,0,-0.262599,-3.52806,-712.061,9986.82,9997.59,-181.298,246.04,239.975,0,-0.262599,-3.52806,-712.061,-170960,176654,-940.304,246.04,239.975,0
254,1,-0.298655,-3.67616,-720.007,12112.5,10438.9,-178.74,246.498,237.177,0,-0.298655,-3.67616,-720.007,-170859,178957,-963.251,246.498,237.177,0
254,2,-0.263296,-3.75233,-719.603,10153.9,9547.53,-184.331,245.268,239.89,0,-0.263296,-3.75233,-719.603,-172718,177969,-995.645,245.268,239.89,0
254,3,-0.267594,-3.75686,-719.89,10235.2,9940.3,-183.828,245.808,239.782,0,-0.267594,-3.75686,-719.89,-172710,178429,-995.112,245.808,239.782,0
254,4,-0.267455,-3.72444,-721.035,10259.9,9902.88,-184.02,245.734,239.771,0,-0.267455,-3.72444,-721.035,-172975,178660,-987.751,245.734,239.771,0
254,5,-0.268211,-3.83315,-720.617,10301.5,9821.84,-184.279,245.63,239.705,0,-0.268211,-3.83315,-720.617,-172831,178481,-1013.26,245.63,239.705,0
