Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
7,7,-0.529024,-3.3758,-708.352,8776.63,46651.7,-143.799,297.859,241.61,0
7,8,-0.521803,-2.21598,-710.898,8825.73,46693.5,-140.226,297.682,241.585,0
7,9,-0.523866,-2.47308,-711.081,8778.35,46811.2,-141.18,297.831,241.655,0
8,0,-0.523117,-2.38061,-710.617,8865.17,46636.4,-140.703,297.628,241.525,0
8,1,-0.523088,-2.40191,-710.294,8868.72,46607.1,-140.711,297.617,241.514,0
8,2,-0.524571,-2.36741,-709.241,8945.05,46686.5,-140.03,297.826,241.388,0
8,3,-0.523353,-2.3149,-711.626,8914.74,46631,-140.647,297.527,241.473,0
8,4,-0.524272,-2.40231,-711.118,8943.58,46614.9,-140.766,297.552,241.423,0
8,5,-0.524146,-2.40363,-711.533,8915.79,46649.3,-140.916,297.562,241.47,0
8,6,-0.52224,-2.09132,-710.392,8947.17,46635,-139.42,297.647,241.405,0
8,7,-0.557116,-6.49029,-711.174,9114.47,46744.3,-154.843,297.728,241.184,0
8,8,-0.526034,-2.62343,-718.497,8931.31,46645.2,-143.646,296.921,241.569,0
8,9,-0.525296,-2.55774,-710.933,8923.21,46642.3,-141.286,297.607,241.449,0
9,0,-0.523815,-2.3903,-710.888,8943.77,46567.3,-140.708,297.506,241.419,0
9,1,-0.523661,-2.34599,-710.614,8941.05,46594.2,-140.45,297.569,241.418,0
9,2,-0.526352,-2.53195,-709.92,9045.03,46572.5,-140.701,297.603,241.259,0
9,3,-0.526022,-2.63427,-711.34,8975.67,46564.6,-141.636,297.46,241.382,0
9,4,-0.526776,-2.52481,-711.072,8999.68,46717.3,-140.953,297.7,241.344,0
9,5,-0.524864,-2.46645,-710.243,8982.43,46560,-140.715,297.555,241.353,0
9,6,-0.524361,-2.34484,-710.612,9006.25,46561.3,-140.33,297.523,241.326,0
9,7,-0.525281,-2.39168,-711.988,9014.21,46618.2,-140.81,297.476,241.339,0
9,8,-0.532305,-3.59718,-711.547,8981.73,46473,-145.214,297.313,241.377,0
9,9,-0.530056,-2.55145,-711.13,9019.19,47076.7,-140.641,298.2,241.317,0
10,0,-0.527516,-2.77703,-711.015,9020.85,46540,-141.976,297.456,241.313,0
10,1,-0.527017,-2.66573,-710.879,9044.11,46534.6,-141.492,297.461,241.278,0
10,2,-0.527339,-2.60036,-712.163,9098.4,46530.2,-141.504,297.337,241.224,0
