,,Group 3 S:LFHD,,,Group 3 S:RFHD,,,Group 3 S:LBHD,,,Group 3 S:RBHD,,,Group 3 S:C7,,,Group 3 S:T10,,,Group 3 S:CLAV,,,Group 3 S:STRN,,,Group 3 S:RBAK,,,Group 3 S:LSHO,,,Group 3 S:LUPA,,,Group 3 S:LELB,,,Group 3 S:LFRM,,,Group 3 S:LWRA,,,Group 3 S:LWRB,,,Group 3 S:LFIN,,,Group 3 S:RSHO,,,Group 3 S:RUPA,,,Group 3 S:RELB,,,Group 3 S:RFRM,,,Group 3 S:RWRA,,,Group 3 S:RWRB,,,Group 3 S:RFIN,,,Group 3 S:LASI,,,Group 3 S:RASI,,,Group 3 S:LPSI,,,Group 3 S:RPSI,,,Group 3 S:LTHI,,,Group 3 S:LKNE,,,Group 3 S:LTIB,,,Group 3 S:LANK,,,Group 3 S:LHEE,,,Group 3 S:LTOE,,,Group 3 S:RTHI,,,Group 3 S:RKNE,,,Group 3 S:RTIB,,,Group 3 S:RANK,,,Group 3 S:RHEE,,,Group 3 S:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
218,0,196.031036,186.895157,1573.059937,213.063889,321.353607,1552.182373,368.724396,184.369095,1490.451538,377.402954,275.149597,1486.657471,362.131317,236.378281,1366.267700,393.267059,229.188461,1152.432861,209.938507,230.998520,1323.193848,104.304825,232.993179,1165.296387,391.408051,310.234833,1288.484863,255.194275,66.938416,1354.638184,269.403900,-7.611009,1209.172974,263.839203,-10.601258,1038.992554,148.766953,5.403477,914.898071,129.744385,40.606194,839.300781,142.983276,-19.630430,829.323914,85.826271,21.944962,759.244751,268.860260,395.061615,1345.040161,305.040802,478.236115,1120.312134,283.519684,492.574677,1046.583618,174.209671,482.248169,932.118469,145.759018,462.653412,841.887695,163.868332,526.805725,838.484375,99.724167,487.851654,752.392334,163.992859,131.951050,918.761414,168.104324,374.185730,911.624634,384.547455,176.380112,999.726440,388.225128,295.019745,1003.806702,263.358673,47.005405,717.359192,311.871185,105.010674,442.713135,317.528534,78.894066,295.446320,320.132629,87.268242,77.197144,377.465179,125.922951,32.313614,164.617218,103.960617,38.752373,262.983612,460.302338,663.299866,296.698425,424.000610,457.259369,324.920776,439.111572,318.088104,337.818237,431.256561,71.796638,380.633881,389.206512,31.040110,169.572327,439.910767,36.665936
219,0,195.862839,186.866028,1573.190674,212.801773,321.393860,1552.216431,368.552399,184.490860,1490.501831,377.198853,275.228088,1486.697144,361.842010,236.381790,1366.336548,393.072083,229.227631,1152.572754,209.689728,231.082855,1323.183716,104.105675,232.980881,1165.288086,391.187042,310.209259,1288.514282,254.813705,66.758057,1354.907471,269.070770,-6.949870,1208.943359,263.722504,-10.649676,1039.083740,148.898880,4.990572,914.804504,130.063843,39.858059,839.239807,143.319916,-20.082338,829.135986,86.154060,21.303593,758.884583,268.657104,395.131073,1344.995850,305.227753,478.238678,1120.289673,283.853638,492.517365,1046.508545,174.893845,482.452850,931.738403,146.798203,462.864105,841.080688,165.006424,527.365051,838.351257,101.365112,488.361755,751.880005,163.850037,131.826309,918.795654,167.903519,374.398254,911.417236,384.544556,176.366028,999.779419,388.198853,295.084442,1003.857727,263.137695,46.935753,717.166016,311.903076,104.935493,442.775787,317.638672,79.042847,295.492737,320.359833,87.619911,77.422401,377.425873,125.924500,32.305637,164.416809,104.012093,38.724014,262.930969,460.309906,663.306458,296.623810,424.331726,457.046509,324.889008,439.181213,318.167145,337.767517,431.187012,71.724014,380.612427,389.213806,31.038088,169.299088,439.473694,36.370728
220,0,195.604095,186.937225,1573.221680,212.549896,321.510651,1552.188843,368.253296,184.509048,1490.540527,376.951172,275.208282,1486.695679,361.525208,236.513870,1366.360474,392.874298,229.218842,1152.605713,209.406830,231.138657,1323.149902,103.910576,233.088974,1165.295898,391.036621,310.223206,1288.557983,254.369583,66.827576,1355.292847,268.800812,-6.688200,1208.911011,263.634735,-10.621107,1039.139038,149.150711,4.448752,914.656067,130.402985,39.259789,838.815063,143.756912,-20.686083,828.980835,86.387527,20.492243,758.511719,268.479431,395.299408,1344.836670,305.465240,478.269379,1120.251953,284.266205,492.441162,1046.413696,175.511765,482.573425,931.178467,147.937881,462.804657,840.351379,165.571533,527.427551,837.797913,102.909988,488.844971,751.068237,163.762848,131.870743,918.799011,167.870651,374.492218,911.182800,384.460236,176.329987,999.795898,388.071503,295.135284,1003.876709,263.153961,46.824532,717.237366,311.873444,105.135529,442.667175,317.643677,79.003288,295.497711,320.380920,87.657349,77.393913,377.463593,125.913681,32.308529,164.493652,104.009209,38.729050,262.906647,460.349182,663.289429,296.579651,424.089630,457.233459,324.881622,439.108185,318.104767,337.755463,431.112305,71.674637,380.627380,389.210724,31.030834,169.554688,439.876923,36.680504
221,0,195.313049,187.077408,1573.180054,212.395523,321.650238,1552.219360,367.988708,184.558304,1490.523438,376.732361,275.283112,1486.712646,361.235138,236.513474,1366.392456,392.694641,229.218246,1152.663696,209.155197,231.264938,1323.187134,103.736465,233.280685,1165.282227,390.820313,310.218048,1288.586914,254.160202,67.148460,1354.776001,268.695190,-7.536531,1209.412231,263.563263,-10.603511,1039.220581,149.413254,3.955586,914.445557,130.904083,38.742794,838.470947,144.129745,-21.057775,829.007751,87.224319,19.756544,758.156921,268.296417,395.401215,1344.792725,305.700287,478.242401,1120.184448,284.695953,492.429749,1046.394165,176.517197,482.959076,930.831055,149.215515,462.986328,839.749390,167.277786,527.768860,837.291382,104.524689,489.144958,750.099304,163.842102,132.044250,918.767822,167.813477,374.553162,911.353455,384.366150,176.604019,999.912292,387.997192,295.182495,1003.929626,263.071442,46.985207,717.169189,311.975800,105.008720,442.758575,317.649109,79.091156,295.518036,320.208740,87.401558,77.237640,377.453461,125.960869,32.360439,164.527679,104.060478,38.784389,262.838867,460.411011,663.297729,296.585663,424.047485,457.278625,324.846924,439.155762,318.129669,337.803833,431.244568,71.783051,380.650208,389.187836,31.038670,169.601715,439.964722,36.732643
222,0,195.088501,186.967590,1573.116333,212.195480,321.763702,1552.186279,367.732117,184.551926,1490.531738,376.472076,275.327362,1486.729980,360.972961,236.583252,1366.380981,392.540985,229.154800,1152.721436,208.919815,231.320969,1323.134888,103.534256,233.494583,1165.211060,390.616913,310.259918,1288.672119,253.860092,67.131027,1354.830811,268.486572,-7.491953,1209.487427,263.586487,-10.701688,1039.321655,149.772583,3.413553,914.230774,131.571716,38.142330,837.976440,144.680878,-22.145163,828.805969,88.138214,18.627651,757.671875,268.115021,395.529846,1344.743042,306.055847,478.550385,1120.340454,285.118713,492.425690,1046.311035,177.507156,483.204224,930.273560,150.672562,463.235352,839.399719,169.118942,528.416565,836.655212,106.463593,489.888184,749.204407,163.685745,132.036148,918.797058,167.832489,374.417450,911.208069,384.240265,176.586975,999.814697,387.936493,295.179810,1003.958374,263.073730,46.965652,717.151733,312.011169,105.044945,442.713043,317.618103,78.889969,295.466400,320.343262,87.673683,77.362488,377.470276,125.930878,32.331718,164.572647,104.038696,38.811188,262.801208,460.399628,663.278015,296.642731,424.128815,457.257996,324.860962,439.171448,318.156616,337.757751,431.141205,71.700211,380.619629,389.187134,31.013685,169.601013,439.990356,36.733273
223,0,194.803986,187.123932,1573.190186,211.941711,321.845581,1552.161255,367.354340,184.634903,1490.536011,376.177643,275.352875,1486.715332,360.822968,236.637314,1366.441284,392.356567,229.120880,1152.734009,208.680130,231.440521,1323.119629,103.363190,233.470261,1165.219971,390.407501,310.316162,1288.733765,253.549332,67.020927,1355.110474,268.270691,-6.668345,1209.151001,263.605713,-10.736199,1039.397827,150.308929,2.751981,913.932190,132.304474,37.451408,837.405884,145.784210,-22.832390,828.492859,89.252930,17.355310,756.991455,267.946503,395.630188,1344.665283,306.252899,478.305298,1120.225342,285.647583,492.474182,1046.332642,178.532471,483.559784,929.766235,152.475067,464.928101,838.524658,170.565781,528.548523,836.012817,108.567734,490.368042,748.110046,163.673279,132.003265,918.795410,167.711288,374.544464,911.072876,384.169678,176.504868,999.859436,387.888092,295.248444,1004.004700,263.112640,46.901230,717.225952,311.618683,105.357719,442.958557,317.734406,79.103622,295.525757,320.370789,87.678886,77.435600,377.437866,125.910255,32.324612,164.558319,103.996063,38.829632,262.757874,460.433044,663.278442,296.487671,424.319946,457.042358,324.869629,439.229279,318.185638,337.745453,431.132080,71.713539,380.611908,389.179657,31.060863,169.567596,439.957367,36.713562
224,0,194.542130,187.194992,1573.203491,211.690033,321.881226,1552.130859,367.166504,184.623932,1490.552002,375.896576,275.383514,1486.727539,360.587250,236.687286,1366.510498,392.215454,229.177658,1152.762329,208.470108,231.477066,1323.044922,103.206314,233.482697,1165.134521,390.222412,310.338501,1288.768799,253.264221,67.078949,1355.052246,268.217102,-7.486489,1209.588379,263.708588,-10.826749,1039.509521,150.860291,2.063739,913.571289,133.304779,36.232262,836.838867,146.674652,-23.772556,828.155579,90.401085,16.347837,756.354248,267.751709,395.739899,1344.633179,306.579803,478.308350,1120.204956,286.147186,492.380981,1046.197998,179.626907,483.824219,929.030029,153.699783,464.584290,837.721069,172.166885,528.924255,835.497253,110.533531,490.695557,747.002930,163.567032,132.000015,918.808960,167.654037,374.616699,911.000427,384.125610,176.668747,999.887756,387.822754,295.158020,1003.965271,263.061371,47.035576,717.209290,312.153381,105.021271,442.769287,317.703705,78.959801,295.430176,320.373322,87.706711,77.394569,377.449127,125.923454,32.321648,164.559006,103.901123,38.842327,262.705719,460.426117,663.249023,296.505829,424.377136,457.108429,324.805298,439.135925,318.122406,337.736420,431.118347,71.715500,380.655090,389.139374,31.056879,169.530365,439.926941,36.664650
225,0,194.257965,187.404175,1573.085693,211.343491,322.029510,1552.151123,366.802551,184.492538,1490.525391,375.636963,275.457001,1486.772461,360.261444,236.660263,1366.513794,392.068726,229.213791,1152.799438,208.167480,231.075577,1323.085449,103.053772,233.796204,1165.055054,389.968048,310.299896,1288.798462,252.983063,67.250610,1355.364380,268.111145,-7.406444,1209.629150,263.864716,-11.057659,1039.617798,151.577911,1.366713,913.185425,134.089020,35.239025,836.372620,147.818649,-24.844757,827.929993,91.778442,14.941331,755.631348,267.561310,395.900330,1344.582642,306.955200,478.320038,1120.184570,286.735077,492.413666,1046.196533,180.777374,484.128204,928.332825,155.088043,464.919891,836.868958,174.125549,529.237549,834.782288,112.849266,492.048279,746.229309,163.624847,132.100327,918.730225,167.581253,374.706604,910.896423,384.049164,176.710037,999.899170,387.782990,295.293488,1004.121765,263.043671,47.101170,717.165894,312.122986,105.095116,442.758545,317.816162,79.044098,295.458130,320.738739,87.821442,77.797020,377.478912,125.972954,32.366253,164.493515,103.908302,38.815361,262.684174,460.452942,663.300598,296.497955,424.168884,457.274719,324.792084,439.101379,318.132355,337.706482,431.124298,71.705742,380.641785,389.156158,31.067474,169.281601,439.520020,36.354088
226,0,193.810425,187.580765,1573.168945,211.059998,322.067688,1552.146851,366.555908,184.726944,1490.523193,375.376404,275.511993,1486.770874,360.017212,236.751083,1366.536743,391.915863,229.219467,1152.874878,207.857407,231.108231,1323.028687,102.884178,233.751907,1164.892456,389.793671,310.321411,1288.832764,252.708023,67.573692,1355.049072,268.041168,-7.457023,1209.714966,264.313385,-11.777821,1039.890869,152.357666,0.617691,912.786072,134.734848,34.653133,835.542847,149.023346,-25.816868,827.530396,93.290314,13.358871,754.990906,267.430817,396.216705,1344.673096,307.307922,478.299194,1120.172974,287.284149,492.455170,1046.163574,182.060562,484.471283,927.845398,156.904831,465.319641,835.832886,175.797394,530.083923,834.233582,115.182877,492.675690,745.133301,163.604416,132.110703,918.699097,167.444534,374.699585,910.720581,383.941345,176.654984,1000.026245,387.701843,295.325653,1004.150513,263.079407,47.184669,717.143738,312.227509,105.162384,442.740662,317.826324,79.210732,295.536255,320.743469,87.760506,77.787590,377.488312,125.970482,32.388447,164.456161,104.010498,38.773457,262.677063,460.516602,663.312805,296.400940,424.176422,457.223053,324.744263,439.123108,318.129883,337.702209,431.098755,71.731041,380.625183,389.143158,31.070389,169.588226,439.963867,36.701042
227,0,193.572052,187.739044,1573.108032,210.783249,322.199066,1552.146240,366.294800,184.786148,1490.573120,375.093903,275.550903,1486.802002,359.756714,236.822159,1366.616211,391.784760,229.243805,1152.885010,207.671249,231.546310,1323.057373,102.726776,233.897125,1164.792725,389.621155,310.376373,1288.856934,252.390976,67.584785,1355.082764,267.992523,-7.519695,1209.781738,264.605743,-11.964106,1040.007813,153.191528,-0.218289,912.359802,136.000732,32.827061,834.757813,150.371368,-26.961281,827.238892,95.160698,12.274239,753.994446,267.195892,396.175354,1344.451904,307.647980,478.256104,1120.150024,287.891998,492.404816,1046.132446,183.382874,484.986115,927.233765,158.686234,466.357941,835.222778,177.993500,530.964417,833.748718,117.761833,493.511993,744.094849,163.519180,132.139847,918.731689,167.567230,374.733459,910.971802,383.877808,176.766144,1000.021606,387.583191,295.357269,1004.170654,263.101501,47.193565,717.114441,312.221497,105.276489,442.705750,317.824371,79.155762,295.526154,320.351410,87.671661,77.400330,377.442535,125.966995,32.314758,164.533508,103.937866,38.780930,262.665070,460.623566,663.312683,296.383545,424.167328,457.197052,324.671051,439.124420,318.118103,337.695221,431.088623,71.725525,380.588226,389.107056,31.086267,169.578110,439.990723,36.704338
